Bias_Type,V_diode,I_mA
Forward,0.099,0.0004
Forward,0.1999,0.0004
Forward,0.2999,0.0003
Forward,0.3492,0.0001
Forward,0.368,0.0006
Forward,0.378,0.001
Forward,0.397,0.0021
Forward,0.471,0.0261
Forward,0.494,0.0515
Forward,0.511,0.0825
Forward,0.523,0.1166
Forward,0.533,0.1542
Forward,0.542,0.193
Forward,0.55,0.2328
Forward,0.556,0.2733
Forward,0.562,0.3148
Forward,0.566,0.3571
Forward,0.571,0.3994
Forward,0.579,0.4853
Forward,0.586,0.5725
Forward,0.592,0.66
Forward,0.597,0.7483
Forward,0.602,0.8373
Forward,0.606,0.9268
Forward,0.612,1.06
Forward,0.616,1.16
Forward,0.619,1.25
Forward,0.623,1.35
Forward,0.625,1.45
Forward,0.628,1.54
Forward,0.631,1.63
Forward,0.633,1.73
Forward,0.636,1.862
Forward,0.638,1.91
Forward,0.64,2.0
Forward,0.644,2.2
Forward,0.646,2.3
Forward,0.65,2.5
Forward,0.658,3.0
Forward,0.67,4.0
Forward,0.68,5.0
Forward,0.689,6.0
Forward,0.702,8.0
Forward,0.712,10.0
Forward,0.721,12.0
Forward,0.728,14.0
Forward,0.735,16.0
Forward,0.74,18.0
Forward,0.745,20.0
Forward,0.755,23.92
Reverse,0.999,0.0004
Reverse,2.005,0.0007
Reverse,3.005,0.0007
Reverse,4.007,0.0008
Reverse,5.001,0.0009
Reverse,7.502,0.0011
Reverse,10.001,0.0014
