V_cell (V),I_c (mA)
-1.045,-24.57
-0.944,-24.56
-0.843,-24.53
-0.743,-24.51
-0.640,-24.49
-0.540,-24.48
-0.440,-24.46
-0.339,-24.45
-0.239,-24.43
-0.137,-24.41
-0.037,-24.40
0.036,-26.08
0.086,-26.06
0.136,-25.98
0.186,-25.83
0.236,-25.50
0.286,-24.89
0.335,-23.72
0.381,-21.57
0.423,-18.16
0.463,-12.69
0.471,-11.17
0.479,-9.61
0.487,-8.04
0.495,-6.31
0.500,-4.45
0.511,-2.59
0.519,-0.58
0.527,1.58
0.535,3.86
0.542,6.06
0.608,28.36
0.615,32.82
0.650,46.58
0.651,47.52
